,gene_accession,Class,Phenotype,Mechanism of resistance,gene,accession
893,blaZ_86_AIZE01000023,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_86,AIZE01000023
894,blaZ_87_NZ_LRNC01000042,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_87,LRNC01000042
895,blaZ_88_FKTX01000011,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_88,FKTX01000011
896,blaZ_89_FKPS01000007,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_89,FKPS01000007
897,blaZ_90_FKVU01000010,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_90,FKVU01000010
898,blaZ_91_FKQH01000022,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_91,FKQH01000022
899,blaZ_92_FKWG01000001,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_92,FKWG01000001
900,blaZ_93_FKQA01000038,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_93,FKQA01000038
901,blaZ_94_LYRW01000005,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_94,LYRW01000005
902,blaZ_95_MAJJ01000071,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_95,MAJJ01000071
903,blaZ_96_LNDI01000019,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_96,LNDI01000019
904,blaZ_97_FMOK01000003,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_97,FMOK01000003
905,blaZ_98_LTEF01000041,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_98,LTEF01000041
906,blaZ_99_LTNH01000008,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_99,LTNH01000008
907,blaZ_100_LTMH01000008,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_100,LTMH01000008
908,blaZ_101_LTLP01000099,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_101,LTLP01000099
909,blaZ_102_MLQA01000023,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_102,MLQA01000023
910,blaZ_103_FQSJ01000009,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_103,FQSJ01000009
911,blaZ_104_FQHI01000006,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_104,FQHI01000006
912,blaZ_105_FQJS01000007,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_105,FQJS01000007
913,blaZ_106_FQHX01000011,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_106,FQHX01000011
914,blaZ_107_FQDM01000011,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_107,FQDM01000011
915,blaZ_108_FQPO01000005,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_108,FQPO01000005
916,blaZ_109_AOAS01000022,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_109,AOAS01000022
917,blaZ_110_AJCZ01000013,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_110,AJCZ01000013
918,blaZ_111_AJCN01000010,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_111,AJCN01000010
919,blaZ_112_AKGL01000044,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_112,AKGL01000044
920,blaZ_113_AHVS01000008,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_113,AHVS01000008
921,blaZ_114_NC_013379,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_114,13379
922,blaZ_115_FN433596,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_115,FN433596
923,blaZ_116_NC_013348,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_116,13348
924,blaZ_117_ACHE01000004,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_117,ACHE01000004
925,blaZ_118_NC_004461,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_118,4461
926,blaZ_119_NZ_CANQ01000029,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_119,CANQ01000029
927,blaZ_120_NZ_ALWG01000005,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_120,ALWG01000005
928,blaZ_121_AIWM01000014,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_121,AIWM01000014
929,blaZ_122_NZ_AJGE01000057,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_122,AJGE01000057
930,blaZ_123_NC_013653,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_123,13653
931,blaZ_124_NC_013944,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_124,13944
932,blaZ_125_CP003194,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_125,CP003194
933,blaZ_126_NC_013374,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_126,13374
934,blaZ_127_ACFR01000018,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_127,ACFR01000018
935,blaZ_128_GQ900471,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_128,GQ900471
936,blaZ_130_AHKZ01000073,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_130,AHKZ01000073
937,blaZ_131_GQ900485,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_131,GQ900485
938,blaZ_132_AHVO01000010,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_132,AHVO01000010
939,blaZ_133_AIDT01000014,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_133,AIDT01000014
940,blaZ_134_NZ_AJGE01000047,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_134,AJGE01000047
941,blaZ_135_AB811795,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_135,AB811795
942,blaZ_136_NZ_ALWE01000009,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_136,ALWE01000009
943,blaZ_137_GQ915265,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_137,GQ915265
944,blaZ_138_CP003979,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_138,CP003979
945,blaNDM-1_1_FN396876,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-1_1,FN396876
946,blaNDM-10_1_KF361506,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-10_1,KF361506
947,blaNDM-11_1_KP265939,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-11_1,KP265939
948,blaNDM-12_1_AB926431,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-12_1,AB926431
949,blaNDM-13_1_LC012596,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-13_1,LC012596
950,blaNDM-14_1_KM210086,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-14_1,KM210086
951,blaNDM-15_1_KP735848,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-15_1,KP735848
952,blaNDM-16_1_KP862821,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-16_1,KP862821
953,blaNDM-17_1_KX812714,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-17_1,KX812714
954,blaNDM-18_1_KY503030,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-18_1,KY503030
955,blaNDM-19_1_MF370080,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-19_1,MF370080
956,blaNDM-2_1_JF703135,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-2_1,JF703135
957,blaNDM-20_1_KY654092,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-20_1,KY654092
958,blaNDM-21_1_MG183694,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-21_1,MG183694
959,blaNDM-22_1_MH243357,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-22_1,MH243357
960,blaNDM-23_1_MH450214,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-23_1,MH450214
961,blaNDM-24_1_MH450215,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-24_1,MH450215
962,blaNDM-3_1_JQ734687,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-3_1,JQ734687
963,blaNDM-4_1_JQ348841,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-4_1,JQ348841
964,blaNDM-5_1_JN104597,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-5_1,JN104597
965,blaNDM-6_1_JN967644,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-6_1,JN967644
966,blaNDM-7_1_JX262694,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-7_1,JX262694
967,blaNDM-8_1_AB744718,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-8_1,AB744718
968,blaNDM-9_1_KC999080,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaNDM-9_1,KC999080
969,blaVIM-1_1_Y18050,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-1_1,Y18050
970,blaVIM-2_1_AF302086,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-2_1,AF302086
971,blaVIM-3_1_AF300454,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-3_1,AF300454
972,blaVIM-4_1_EU581706,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-4_1,EU581706
973,blaVIM-5_1_DQ023222,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-5_1,DQ023222
974,blaVIM-6_1_AY165025,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-6_1,AY165025
975,blaVIM-7_1_AJ536835,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-7_1,AJ536835
976,blaVIM-8_1_AY524987,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-8_1,AY524987
977,blaVIM-9_1_AY524988,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-9_1,AY524988
978,blaVIM-10_1_AY524989,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-10_1,AY524989
979,blaVIM-11_1_AY605049,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-11_1,AY605049
980,blaVIM-12_1_DQ143913,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-12_1,DQ143913
981,blaVIM-13_1_DQ365886,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-13_1,DQ365886
982,blaVIM-14_1_FJ445404,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-14_1,FJ445404
983,blaVIM-15_1_EU419745,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-15_1,EU419745
984,blaVIM-16_1_EU419746,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-16_1,EU419746
985,blaVIM-17_1_EU118148,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-17_1,EU118148
986,blaVIM-18_1_AM778091,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-18_1,AM778091
987,blaVIM-19_1_FJ499397,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-19_1,FJ499397
988,blaVIM-20_1_GQ414736,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-20_1,GQ414736
989,blaVIM-23_1_GQ242167,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-23_1,GQ242167
990,blaVIM-24_1_HM855205,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-24_1,HM855205
991,blaVIM-25_1_HM750249,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-25_1,HM750249
992,blaVIM-26_1_FR748153,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-26_1,FR748153
993,blaVIM-27_1_HQ858608,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-27_1,HQ858608
994,blaVIM-28_1_JF900599,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-28_1,JF900599
995,blaVIM-29_1_JX311308,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-29_1,JX311308
996,blaVIM-30_1_JN129451,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVIM-30_1,JN129451
